date,type,electricity_consumption_kWh
2002-01-01,Residential,1524085177.0
2002-02-01,Residential,1597466131.0
2002-03-01,Residential,1842061202.0
2002-04-01,Residential,2048720372.0000002
2002-05-01,Residential,1989872169.0
2002-06-01,Residential,1918609722.0
2002-07-01,Residential,1942961790.0
2002-08-01,Residential,1881973744.0
2002-09-01,Residential,1805927948.0
2002-10-01,Residential,1845032888.0
2002-11-01,Residential,1784437096.0
2002-12-01,Residential,1782026179.0
2002-01-01,Business,1397479740.0
2002-02-01,Business,1421461132.0
2002-03-01,Business,1625588512.0
2002-04-01,Business,1660139789.0
2002-05-01,Business,1663676852.0
2002-06-01,Business,1652298726.0
2002-07-01,Business,1689672585.0
2002-08-01,Business,1667415189.0
2002-09-01,Business,1616951735.0
2002-10-01,Business,1661481041.0
2002-11-01,Business,1595471236.0
2002-12-01,Business,1615914256.0
2002-01-01,Industrial,3977330328.0
2002-02-01,Industrial,3890335908.0
2002-03-01,Industrial,4510566617.0
2002-04-01,Industrial,4233868311.9999995
2002-05-01,Industrial,4589169909.0
2002-06-01,Industrial,4518909423.0
2002-07-01,Industrial,4598969420.0
2002-08-01,Industrial,4646023220.0
2002-09-01,Industrial,4496778693.0
2002-10-01,Industrial,4616356325.0
2002-11-01,Industrial,4523672872.0
2002-12-01,Industrial,4362777150.0
2002-01-01,Government & Non-Profit,246117053.0
2002-02-01,Government & Non-Profit,259673865.99999997
2002-03-01,Government & Non-Profit,300596615.0
2002-04-01,Government & Non-Profit,286972177.0
2002-05-01,Government & Non-Profit,305830666.0
2002-06-01,Government & Non-Profit,331824559.0
2002-07-01,Government & Non-Profit,341537835.0
2002-08-01,Government & Non-Profit,323306597.0
2002-09-01,Government & Non-Profit,318642682.0
2002-10-01,Government & Non-Profit,313211507.0
2002-11-01,Government & Non-Profit,308918156.0
2002-12-01,Government & Non-Profit,298549872.0
2002-01-01,Agriculture,19367330.0
2002-02-01,Agriculture,25541219.0
2002-03-01,Agriculture,24229577.0
2002-04-01,Agriculture,23081002.0
2002-05-01,Agriculture,14897882.0
2002-06-01,Agriculture,13931768.0
2002-07-01,Agriculture,23056514.0
2002-08-01,Agriculture,17182434.0
2002-09-01,Agriculture,5487429.0
2002-10-01,Agriculture,13532049.0
2002-11-01,Agriculture,2669416.0
2002-12-01,Agriculture,9154013.0
2002-01-01,Other,84913643.42
2002-02-01,Other,90982818.56
2002-03-01,Other,92139855.38
2002-04-01,Other,122344982.8
2002-05-01,Other,89540989.41
2002-06-01,Other,92604392.45
2002-07-01,Other,118145841.89999999
2002-08-01,Other,34722769.85
2002-09-01,Other,103243236.60000001
2002-10-01,Other,95996383.78
2002-11-01,Other,70005496.75
2002-12-01,Other,114316558.0
2002-01-01,Free of Charge,77511626.0
2002-02-01,Free of Charge,73601203.0
2002-03-01,Free of Charge,76068583.0
2002-04-01,Free of Charge,85951362.0
2002-05-01,Free of Charge,77305921.0
2002-06-01,Free of Charge,75644181.0
2002-07-01,Free of Charge,78192417.0
2002-08-01,Free of Charge,79837121.0
2002-09-01,Free of Charge,80798060.0
2002-10-01,Free of Charge,83212809.0
2002-11-01,Free of Charge,83760401.0
2002-12-01,Free of Charge,87404520.0
2003-01-01,Residential,1687460794.0
2003-02-01,Residential,1646825915.0
2003-03-01,Residential,1961256918.0
2003-04-01,Residential,2141527246.0
2003-05-01,Residential,2188357998.0
2003-06-01,Residential,2046227219.0
2003-07-01,Residential,1982454698.0
2003-08-01,Residential,2052216127.0000002
2003-09-01,Residential,1916635573.0
2003-10-01,Residential,2011065458.0
2003-11-01,Residential,1939022127.0
2003-12-01,Residential,1756495895.0
2003-01-01,Business,1560051766.0
2003-02-01,Business,1603639800.0
2003-03-01,Business,1762186283.0
2003-04-01,Business,1762253561.0
2003-05-01,Business,1806763328.0
2003-06-01,Business,1762243699.0
2003-07-01,Business,1778471037.0
2003-08-01,Business,1806717272.0
2003-09-01,Business,1712722835.0
2003-10-01,Business,1757657738.0
2003-11-01,Business,1759579988.0
2003-12-01,Business,1611624242.0
2003-01-01,Industrial,4411356262.0
2003-02-01,Industrial,4233862529.0
2003-03-01,Industrial,4904092657.0
2003-04-01,Industrial,4461700113.0
2003-05-01,Industrial,4904858752.0
2003-06-01,Industrial,4774208794.0
2003-07-01,Industrial,4759962423.0
2003-08-01,Industrial,4888735204.0
2003-09-01,Industrial,4831579235.0
2003-10-01,Industrial,4997350144.0
2003-11-01,Industrial,4894515513.0
2003-12-01,Industrial,4684885911.0
2003-01-01,Government & Non-Profit,261131776.0
2003-02-01,Government & Non-Profit,268101640.99999997
2003-03-01,Government & Non-Profit,303719248.0
2003-04-01,Government & Non-Profit,295793441.0
2003-05-01,Government & Non-Profit,312095140.0
2003-06-01,Government & Non-Profit,334414138.0
2003-07-01,Government & Non-Profit,350393658.0
2003-08-01,Government & Non-Profit,344037976.0
2003-09-01,Government & Non-Profit,329683830.0
2003-10-01,Government & Non-Profit,325605981.0
2003-11-01,Government & Non-Profit,334804228.0
2003-12-01,Government & Non-Profit,241322959.0
2003-01-01,Agriculture,19636697.0
2003-02-01,Agriculture,26147801.0
2003-03-01,Agriculture,25139998.0
2003-04-01,Agriculture,22416649.0
2003-05-01,Agriculture,19556591.0
2003-06-01,Agriculture,15619719.0
2003-07-01,Agriculture,18464063.0
2003-08-01,Agriculture,20433754.0
2003-09-01,Agriculture,9606603.0
2003-10-01,Agriculture,14072119.0
2003-11-01,Agriculture,17781716.0
2003-12-01,Agriculture,19003434.0
2003-01-01,Other,87650571.04
2003-02-01,Other,43348789.47
2003-03-01,Other,108944805.9
2003-04-01,Other,88450153.65
2003-05-01,Other,116512128.0
2003-06-01,Other,122786031.30000001
2003-07-01,Other,108717009.8
2003-08-01,Other,143235164.9
2003-09-01,Other,51893323.62
2003-10-01,Other,118860061.1
2003-11-01,Other,109440160.5
2003-12-01,Other,113889815.5
2003-01-01,Free of Charge,87684362.0
2003-02-01,Free of Charge,83875033.0
2003-03-01,Free of Charge,88267290.0
2003-04-01,Free of Charge,88265244.0
2003-05-01,Free of Charge,88506464.0
2003-06-01,Free of Charge,90095140.0
2003-07-01,Free of Charge,90385741.0
