date,country,variable,value
01-01-1950,THA,tas,23.15
01-02-1950,THA,tas,25.43
01-03-1950,THA,tas,27.14
01-04-1950,THA,tas,28.78
01-05-1950,THA,tas,28.2
01-06-1950,THA,tas,27.49
01-07-1950,THA,tas,26.43
01-08-1950,THA,tas,26.54
01-09-1950,THA,tas,26.78
01-10-1950,THA,tas,26.56
01-11-1950,THA,tas,25.24
01-12-1950,THA,tas,23.4
01-01-1951,THA,tas,24.47
01-02-1951,THA,tas,25.56
01-03-1951,THA,tas,27.48
01-04-1951,THA,tas,28.83
01-05-1951,THA,tas,28.55
01-06-1951,THA,tas,28.72
01-07-1951,THA,tas,28.09
01-08-1951,THA,tas,27.25
01-09-1951,THA,tas,27.3
01-10-1951,THA,tas,25.1
01-11-1951,THA,tas,24.38
01-12-1951,THA,tas,23.04
01-01-1952,THA,tas,22.52
01-02-1952,THA,tas,25.54
01-03-1952,THA,tas,28.44
01-04-1952,THA,tas,29.64
01-05-1952,THA,tas,29.17
01-06-1952,THA,tas,27.48
01-07-1952,THA,tas,27.12
01-08-1952,THA,tas,27.33
01-09-1952,THA,tas,26.71
01-10-1952,THA,tas,24.84
01-11-1952,THA,tas,25.63
01-12-1952,THA,tas,23.59
01-01-1953,THA,tas,23.07
01-02-1953,THA,tas,26.26
01-03-1953,THA,tas,27.31
01-04-1953,THA,tas,29.07
01-05-1953,THA,tas,29.03
01-06-1953,THA,tas,27.88
01-07-1953,THA,tas,27.39
01-08-1953,THA,tas,27.09
01-09-1953,THA,tas,26.94
01-10-1953,THA,tas,26.25
01-11-1953,THA,tas,25.0
01-12-1953,THA,tas,23.93
01-01-1954,THA,tas,23.65
01-02-1954,THA,tas,25.41
01-03-1954,THA,tas,27.7
01-04-1954,THA,tas,29.83
01-05-1954,THA,tas,27.49
01-06-1954,THA,tas,27.58
01-07-1954,THA,tas,26.91
01-08-1954,THA,tas,26.38
01-09-1954,THA,tas,26.7
01-10-1954,THA,tas,26.41
01-11-1954,THA,tas,24.38
01-12-1954,THA,tas,23.87
01-01-1955,THA,tas,23.44
01-02-1955,THA,tas,26.1
01-03-1955,THA,tas,27.61
01-04-1955,THA,tas,28.86
01-05-1955,THA,tas,29.0
01-06-1955,THA,tas,28.04
01-07-1955,THA,tas,27.66
01-08-1955,THA,tas,27.38
01-09-1955,THA,tas,27.31
01-10-1955,THA,tas,24.63
01-11-1955,THA,tas,22.71
01-12-1955,THA,tas,22.84
01-01-1956,THA,tas,22.68
01-02-1956,THA,tas,24.6
01-03-1956,THA,tas,27.41
01-04-1956,THA,tas,28.52
01-05-1956,THA,tas,27.11
01-06-1956,THA,tas,26.63
01-07-1956,THA,tas,26.75
01-08-1956,THA,tas,26.53
01-09-1956,THA,tas,26.54
01-10-1956,THA,tas,24.96
01-11-1956,THA,tas,24.14
01-12-1956,THA,tas,22.45
01-01-1957,THA,tas,22.83
01-02-1957,THA,tas,25.84
01-03-1957,THA,tas,27.63
01-04-1957,THA,tas,29.73
01-05-1957,THA,tas,29.26
01-06-1957,THA,tas,28.36
01-07-1957,THA,tas,26.99
01-08-1957,THA,tas,26.28
01-09-1957,THA,tas,26.54
01-10-1957,THA,tas,25.49
01-11-1957,THA,tas,23.86
01-12-1957,THA,tas,23.52
01-01-1958,THA,tas,24.56
01-02-1958,THA,tas,26.27
01-03-1958,THA,tas,27.66
01-04-1958,THA,tas,29.33
01-05-1958,THA,tas,28.34
01-06-1958,THA,tas,27.5
01-07-1958,THA,tas,26.89
01-08-1958,THA,tas,26.83
01-09-1958,THA,tas,26.5
01-10-1958,THA,tas,26.01
01-11-1958,THA,tas,24.68
01-12-1958,THA,tas,22.39
01-01-1959,THA,tas,22.63
01-02-1959,THA,tas,25.9
01-03-1959,THA,tas,27.02
01-04-1959,THA,tas,29.22
01-05-1959,THA,tas,28.3
01-06-1959,THA,tas,27.1
01-07-1959,THA,tas,26.95
01-08-1959,THA,tas,26.84
01-09-1959,THA,tas,26.39
01-10-1959,THA,tas,26.59
01-11-1959,THA,tas,25.54
01-12-1959,THA,tas,22.48
01-01-1960,THA,tas,24.39
01-02-1960,THA,tas,25.89
01-03-1960,THA,tas,27.25
01-04-1960,THA,tas,28.53
01-05-1960,THA,tas,27.18
01-06-1960,THA,tas,27.42
01-07-1960,THA,tas,27.07
01-08-1960,THA,tas,27.07
01-09-1960,THA,tas,27.56
01-10-1960,THA,tas,26.76
01-11-1960,THA,tas,25.44
01-12-1960,THA,tas,23.8
01-01-1961,THA,tas,23.4
01-02-1961,THA,tas,26.68
01-03-1961,THA,tas,27.77
01-04-1961,THA,tas,28.81
01-05-1961,THA,tas,28.28
01-06-1961,THA,tas,27.26
01-07-1961,THA,tas,27.57
01-08-1961,THA,tas,27.12
01-09-1961,THA,tas,26.95
01-10-1961,THA,tas,26.79
01-11-1961,THA,tas,25.11
01-12-1961,THA,tas,23.61
01-01-1962,THA,tas,23.28
01-02-1962,THA,tas,25.58
01-03-1962,THA,tas,27.53
01-04-1962,THA,tas,28.37
01-05-1962,THA,tas,28.26
01-06-1962,THA,tas,27.81
01-07-1962,THA,tas,27.74
01-08-1962,THA,tas,27.35
01-09-1962,THA,tas,26.7
01-10-1962,THA,tas,26.3
01-11-1962,THA,tas,24.33
01-12-1962,THA,tas,23.17
01-01-1963,THA,tas,22.72
01-02-1963,THA,tas,24.75
