Year,Month,Sector,Quantity,UNIT
2002,January,Residential,500.694653,GWh
2002,February,Residential,567.200572,GWh
2002,March,Residential,663.698473,GWh
2002,April,Residential,728.534919,GWh
2002,May,Residential,688.611014,GWh
2002,June,Residential,682.82708,GWh
2002,July,Residential,675.414221,GWh
2002,August,Residential,641.095767,GWh
2002,September,Residential,628.782115,GWh
2002,October,Residential,624.28292,GWh
2002,November,Residential,609.310029,GWh
2002,December,Residential,616.431327,GWh
2002,January,Business,913.4964898,GWh
2002,February,Business,935.8760796,GWh
2002,March,Business,1071.748425,GWh
2002,April,Business,1072.9143,GWh
2002,May,Business,1085.495455,GWh
2002,June,Business,1084.523766,GWh
2002,July,Business,1093.382582,GWh
2002,August,Business,1084.041254,GWh
2002,September,Business,1058.055285,GWh
2002,October,Business,1079.326973,GWh
2002,November,Business,1041.898106,GWh
2002,December,Business,1045.451034,GWh
2002,January,Industrial,1030.521367,GWh
2002,February,Industrial,989.7832041,GWh
2002,March,Industrial,1172.280132,GWh
2002,April,Industrial,1034.929633,GWh
2002,May,Industrial,1176.029969,GWh
2002,June,Industrial,1160.256395,GWh
2002,July,Industrial,1163.672058,GWh
2002,August,Industrial,1220.465278,GWh
2002,September,Industrial,1145.252869,GWh
2002,October,Industrial,1148.739618,GWh
2002,November,Industrial,1151.752371,GWh
2002,December,Industrial,1095.042967,GWh
2002,January,Government & Non-Profit,79.516746,GWh
2002,February,Government & Non-Profit,90.85985,GWh
2002,March,Government & Non-Profit,103.14865,GWh
2002,April,Government & Non-Profit,93.285444,GWh
2002,May,Government & Non-Profit,102.673696,GWh
2002,June,Government & Non-Profit,111.732493,GWh
2002,July,Government & Non-Profit,110.937796,GWh
2002,August,Government & Non-Profit,107.098545,GWh
2002,September,Government & Non-Profit,100.470395,GWh
2002,October,Government & Non-Profit,101.821501,GWh
2002,November,Government & Non-Profit,113.036664,GWh
2002,December,Government & Non-Profit,99.119168,GWh
2002,January,Other,55.59530882,GWh
2002,February,Other,59.69924002,GWh
2002,March,Other,60.93546734,GWh
2002,April,Other,87.67317133,GWh
2002,May,Other,54.75903164,GWh
2002,June,Other,58.35393615,GWh
2002,July,Other,84.8499901,GWh
2002,August,Other,0,GWh
2002,September,Other,68.8369008,GWh
2002,October,Other,60.874121,GWh
2002,November,Other,33.71419831,GWh
2002,December,Other,79.59692772,GWh
2002,January,Free of Charge,13.345812,GWh
2002,February,Free of Charge,12.450075,GWh
2002,March,Free of Charge,13.453942,GWh
2002,April,Free of Charge,22.099109,GWh
2002,May,Free of Charge,15.008403,GWh
2002,June,Free of Charge,14.576107,GWh
2002,July,Free of Charge,15.087218,GWh
2002,August,Free of Charge,15.11265,GWh
2002,September,Free of Charge,14.720853,GWh
2002,October,Free of Charge,15.266179,GWh
2002,November,Free of Charge,14.779545,GWh
2002,December,Free of Charge,15.293725,GWh
2003,January,Residential,551.147735,GWh
2003,February,Residential,585.226067,GWh
2003,March,Residential,696.349267,GWh
2003,April,Residential,764.013085,GWh
2003,May,Residential,759.6336,GWh
2003,June,Residential,704.464679,GWh
2003,July,Residential,671.701076,GWh
2003,August,Residential,699.547382,GWh
2003,September,Residential,653.006282,GWh
2003,October,Residential,669.395085,GWh
2003,November,Residential,677.967996,GWh
2003,December,Residential,566.32203,GWh
2003,January,Business,998.8613372,GWh
2003,February,Business,1064.365123,GWh
2003,March,Business,1144.830169,GWh
2003,April,Business,1130.791352,GWh
2003,May,Business,1165.431483,GWh
2003,June,Business,1142.036493,GWh
2003,July,Business,1152.359179,GWh
2003,August,Business,1158.747291,GWh
2003,September,Business,1106.301496,GWh
2003,October,Business,1129.617749,GWh
2003,November,Business,1138.399192,GWh
2003,December,Business,1021.91527,GWh
2003,January,Industrial,1091.932822,GWh
2003,February,Industrial,1059.916327,GWh
2003,March,Industrial,1244.66464,GWh
2003,April,Industrial,1079.601267,GWh
2003,May,Industrial,1213.490935,GWh
2003,June,Industrial,1193.552746,GWh
2003,July,Industrial,1189.564125,GWh
2003,August,Industrial,1198.337394,GWh
2003,September,Industrial,1174.22883,GWh
2003,October,Industrial,1213.164081,GWh
2003,November,Industrial,1191.865725,GWh
2003,December,Industrial,1118.067088,GWh
2003,January,Government & Non-Profit,78.463209,GWh
2003,February,Government & Non-Profit,93.738917,GWh
2003,March,Government & Non-Profit,100.02018,GWh
2003,April,Government & Non-Profit,92.835469,GWh
2003,May,Government & Non-Profit,100.339012,GWh
2003,June,Government & Non-Profit,105.846026,GWh
2003,July,Government & Non-Profit,120.860552,GWh
2003,August,Government & Non-Profit,111.562671,GWh
2003,September,Government & Non-Profit,98.407235,GWh
2003,October,Government & Non-Profit,98.425686,GWh
2003,November,Government & Non-Profit,125.87172,GWh
2003,December,Government & Non-Profit,50.711554,GWh
2003,January,Other,52.75099388,GWh
2003,February,Other,9.45580178,GWh
2003,March,Other,71.37269868,GWh
2003,April,Other,52.22583024,GWh
2003,May,Other,76.34047872,GWh
2003,June,Other,84.60241543,GWh
2003,July,Other,72.47954215,GWh
2003,August,Other,103.2759693,GWh
2003,September,Other,11.45046082,GWh
2003,October,Other,77.55805127,GWh
2003,November,Other,68.94625269,GWh
2003,December,Other,70.43892769,GWh
2003,January,Free of Charge,15.321192,GWh
2003,February,Free of Charge,13.861959,GWh
2003,March,Free of Charge,15.372818,GWh
2003,April,Free of Charge,14.886755,GWh
